Player,Team,Position,Hollinger_MPG,Hollinger_PF,Hollinger_PFPG,Hollinger_PFP48M,PF_per_MIN,Hollinger_FLAG,Hollinger_TECH,Hollinger_EJECT,GP,MIN_per_game,Total_MIN,STL_per_game,Total_STL,STL_per_MIN,BLK_per_game,Total_BLK,BLK_per_MIN,Opp_FGM_at_Rim_per_game,Total_Opp_FGM_at_Rim,Opp_FGM_at_Rim_per_min,Opp_FGA_at_Rim_per_game,Total_Opp_FGA_at_Rim,Opp_FGA_at_Rim_per_Minute,Opp_FGP_at_Rim,Catch_and_Shoot_Total_PTS,Catch_and_Shoot_PTS_per_game,Catch_and_Shoot_PTS_per_Minute,Catch_and_Shoot_FGM_per_game,Total_Catch_and_Shoot_FGM,Catch_and_Shoot_FGM_per_Minute,Catch_and_Shoot_FGA_per_game,Total_Catch_and_Shoot_FGA,Catch_and_Shoot_FGA_per_Minute,Catch_and_Shoot_FG_PCT,Catch_and_Shoot_3FGM_per_game,Total_Catch_and_Shoot_3FGM,Catch_and_Shoot_3FGM_per_Minute,Catch_and_Shoot_3FGA_per_game,Total_Catch_and_Shoot_3FGA,Catch_and_Shoot_3FGA_per_Minute,Catch_and_Shoot_3FG_PCT,Catch_and_Shoot_eFG_PCT,REB_per_game,Total_REB,REB_per_Minute,Percentage_of_rebounds_per_chance,REB_Chances_per_game,Total_REB_Chances,REB_Chances_per_Minute,Contested_REB_per_game,Total_Contested_REB,Contested_REB_per_Minute,Uncontested_REB_per_game,Total_Uncontested_REB,Uncontested_REB_per_Minute,Contested_REB_Percentage,Distance_Traveled_Per_Game_miles,Distance_Traveled_total_miles,Distance_Traveled_per_Minute,Average_Speed_mph,Distance_Traveled_Per_48_Minutes_miles,Pull_Up_Shots_Total_PTS,Pull_Up_Shots_PTS_per_game,Pull_Up_Shots_PTS_per_Minute,Pull_Up_Shots_FGM_per_game,Total_Pull_Up_Shots_FGM,Pull_Up_Shots_FGM_per_Minute,Pull_Up_Shots_FGA_per_game,Total_Pull_Up_Shots_FGA,Pull_Up_Shots_FGA_per_Minute,Pull_Up_Shots_FG_PCT,Pull_Up_Shots_FG3M_per_game,Total_Pull_Up_Shots_FG3M,Pull_Up_Shots_FG3M_per_Minute,Pull_Up_Shots_FG3A_per_game,Total_Pull_Up_Shots_FG3A,Pull_Up_Shots_FG3A_per_Minute,Pull_Up_Shots_FG3_PCT,Pull_Up_Shots_EFG_PCT,PTS_per_game,Total_PTS,PTS_per_Minute,Drives_PTS_per_game,Total_Drives_PTS,Drives_PTS_per_Minute,Drives_FG_PCT,Close_Shots_PTS_per_game,Total_Close_Shots_PTS,Close_Shots_PTS_per_Minute,Close_Shots_FG_PCT,Catch_and_Shoot_PTS_per_game,Total_Catch_and_Shoot_PTS,Catch_and_Shoot_PTS_per_Minute,Catch_and_Shoot_FG_PCT,Pull_Up_Shots_PTS_per_game,Total_Pull_Up_Shots_PTS,Pull_Up_Shots_PTS_per_Minute,Pull_Up_Shots_FG_PCT,eFG_PCT,FG_PCT_on_Drives,Drives_Per_Game,Total_Drives,Drives_per_Minute,Player_PPG_on_Drives,Total_Player_PTS_on_Drives,Player_PTS_on_Drives_per_Minute,Team_PPG_on_Drives,Total_Team_Points_on_Drives,Team_Points_on_Drives_per_Minute,PTS_Per_48_Min_on_Drives,AST_per_game,Total_AST,AST_per_Minute,Passes_per_game,Total_Passes,Passes_per_Minute,FT_Assists_per_game,Total_FT_Assists,FT_Assists_per_Minute,Secondary_Assists_per_game,Total_Secondary_Assists,Secondary_Assists_per_Minute,Assist_opportunities_per_game,Total_Assist_opportunities,Assist_opportunities_per_Minute,Points_created_by_assist_per_game,Total_Points_created_by_assist,Points_created_by_assist_per_Minute,Points_Created_by_AST_Per_48_Min,Touches_per_game,Total_Touches,Touches_per_Minute,Front_Court_Touches_per_game,Total_Front_Court_Touches,Front_Court_Touches_per_Minute,Time_of_Possession_per_game__min,Total_Time_of_Possession,Close_Touches_per_game,Total_Close_Touches,Close_Touches_per_Minute,Elbow_Touches_per_game,Total_Elbow_Touches,Elbow_Touches_per_Minute,PTS_Per_Touch,PTS_Per_Half_Court_Touch
DeJuan Blair,DAL,C,21.3,89,3.6,8.0,0.2,0,0,0,25,21.4,535,1.3,32.5,0.0607476636,0.3,7,0.0130841121,2.6,65,0.1214953271,4.4,110,0.2056074766,0.58,14.00,0.60,,0.30,7.5,0.0140186916,0.70,17.5,0.0327102804,0.41,0,0,0,0,0,0,0,0.412,7.4,185,0.3457943925,0.57,12.9,322.5,0.6028037383,3.2,80,0.1495327103,4.1,102.5,0.191588785,0.44,1.4,34.9,0.0652336449,3.9,3.1,0,0,0,0,0,0,0.3,7.5,0.0140186916,0,0,0,0,0,0,0,0,0,8.5,212.5,0.3971962617,0,0,0,0,2.9,72.5,0.1355140187,0.604,0.6,15,0.0280373832,0.412,0,0,0,0,0.531,0,0.1,2,0.0037383178,0,0,0,0,0,0,0,1.4,34,0.0635514019,21.5,537.5,1.0046728972,0.2,5,0.0093457944,0.1,2.5,0.0046728972,2.1,52.5,0.0981308411,3.2,80,0.1495327103,7.3,31.2,780,1.4579439252,16.7,417.5,0.7803738318,0.6,15,3.6,90,0.1682242991,4,100,0.1869158879,0.27,0.51
DeMar DeRozan,TOR,SG,38.5,51,2.2,2.8,0.1,0,1,0,22,38.7,851.4,1.1,24.2,0.0284237726,0.5,12,0.0140944327,0.8,17.6,0.0206718346,2,44,0.0516795866,0.40,115.00,5.20,,2.10,46.2,0.0542635659,5.20,114.4,0.1343669251,0.40,1,22,0.0258397933,3,66,0.0775193798,0.354,0.5,3.8,84,0.0986610289,0.667,5.7,125.4,0.1472868217,0.9,19.8,0.023255814,2.9,63.8,0.0749354005,0.238,2.6,57.6,0.067653277,4.1,3.3,115,5.2,0.0061075875,2.5,55,0.0645994832,7.5,165,0.1937984496,0.339,0.1,2.2,0.0025839793,0.7,15.4,0.0180878553,0.2,0.348,22,484,0.5684754522,4.7,103.4,0.1214470284,0.515,0.8,17.6,0.0206718346,0.5,5.2,114.4,0.1343669251,0.4,5.2,114.4,0.1343669251,0.339,0.47,0.515,7,153,0.1797040169,4.7,104,0.1221517501,8.4,184.8,0.2170542636,5.9,3,67,0.0786939159,33.8,743.6,0.8733850129,0.2,4.4,0.0051679587,0.5,11,0.0129198966,6.9,151.8,0.1782945736,7.4,162.8,0.1912144703,9.1,58.8,1294,1.5198496594,53.5,1177,1.3824289406,2.8,61.6,1,22,0.0258397933,5.1,112.2,0.1317829457,0.37,0.41
DeMarcus Cousins,SAC,C,31.1,93,4.0,6.2,0.1,0,7,0,22,31.9,701.8,1.8,39.6,0.0564263323,1.1,24,0.0341977771,3.6,79.2,0.1128526646,6.7,147.4,0.210031348,0.54,40.00,1.80,,0.90,19.8,0.0282131661,2.20,48.4,0.0689655172,0.42,0,0,0,0.1,2.2,0.0031347962,0,0.417,11,243,0.3462524936,0.679,16.3,358.6,0.5109717868,3.7,81.4,0.1159874608,7.3,160.6,0.2288401254,0.337,2,45,0.0641208321,3.9,3.1,14,0.6,0.0008549444,0.3,6.6,0.0094043887,1.5,33,0.0470219436,0.206,0,0,0,0.1,2.2,0.0031347962,0,0.206,22.6,497.2,0.7084639498,1.8,39.6,0.0564263323,0.405,4.9,107.8,0.1536050157,0.467,1.8,39.6,0.0564263323,0.417,0.6,13.2,0.0188087774,0.206,0.483,0.405,2.9,63,0.089769165,1.8,40,0.0569962952,2.9,63.8,0.0909090909,2.7,3.2,71,0.1011684241,35.7,785.4,1.1191222571,0.3,6.6,0.0094043887,0.7,15.4,0.0219435737,5.5,121,0.1724137931,7.2,158.4,0.2257053292,10.8,61.1,1345,1.9165004275,40,880,1.2539184953,1.9,41.8,7.5,165,0.2351097179,5.8,127.6,0.1818181818,0.37,0.57
DeMarre Carroll,ATL,SF,30.7,63,2.4,3.8,0.1,0,1,0,26,30.9,803.4,1.2,31.2,0.0388349515,0.2,6,0.0074682599,2.3,59.8,0.074433657,3.7,96.2,0.1197411003,0.62,94.00,3.60,,1.30,33.8,0.0420711974,3.40,88.4,0.1100323625,0.37,1.1,28.6,0.0355987055,3.1,80.6,0.1003236246,0.346,0.528,5.8,151,0.1879512074,0.556,10.4,270.4,0.3365695793,1.7,44.2,0.0550161812,4,104,0.1294498382,0.3,2.1,55.3,0.068832462,4.1,3.3,6,0.2,0.000248942,0.1,2.6,0.003236246,1,26,0.0323624595,0.111,0,0,0,0.2,5.2,0.0064724919,0,0.111,9.6,249.6,0.3106796117,0.8,20.8,0.0258899676,0.348,1.7,44.2,0.0550161812,0.792,3.6,93.6,0.1165048544,0.371,0.2,5.2,0.0064724919,0.111,0.507,0.348,1.4,37,0.0460542694,0.8,20,0.0248941997,1.5,39,0.0485436893,1.2,1.6,42,0.0522778193,29.9,777.4,0.9676375405,0.2,5.2,0.0064724919,0.8,20.8,0.0258899676,3.2,83.2,0.1035598706,4,104,0.1294498382,6.1,40.1,1042,1.2969878018,30.3,787.8,0.9805825243,1.2,31.2,1.1,28.6,0.0355987055,1,26,0.0323624595,0.24,0.32
Dennis Schroder,ATL,PG,13.9,14,1.3,4.4,0.1,0,0,0,11,14,154,0.4,4.4,0.0285714286,0,0,0,0.3,3.3,0.0214285714,0.6,6.6,0.0428571429,0.43,3.00,0.30,,0.10,1.1,0.0071428571,0.60,6.6,0.0428571429,0.14,0.1,1.1,0.0071428571,0.5,5.5,0.0357142857,0.167,0.214,1.1,12,0.0779220779,0.6,1.8,19.8,0.1285714286,0.1,1.1,0.0071428571,1,11,0.0714285714,0.083,1.1,11.6,0.0753246753,4.5,3.6,4,0.4,0.0025974026,0.2,2.2,0.0142857143,1.2,13.2,0.0857142857,0.154,0,0,0,0.3,3.3,0.0214285714,0,0.154,3.7,40.7,0.2642857143,1.5,16.5,0.1071428571,0.389,0,0,0,0,0.3,3.3,0.0214285714,0.143,0.4,4.4,0.0285714286,0.154,0.367,0.389,4.5,49,0.3181818182,1.5,17,0.1103896104,5.6,61.6,0.4,5.3,2.5,27,0.1753246753,28.1,309.1,2.0071428571,0,0,0,0.9,9.9,0.0642857143,4.8,52.8,0.3428571429,5.5,60.5,0.3928571429,19,36.1,397,2.5779220779,31.3,344.3,2.2357142857,2.7,29.7,0.2,2.2,0.0142857143,1.6,17.6,0.1142857143,0.1,0.12
Derek Fisher,OKC,PG,13.6,35,1.5,5.1,0.1,0,0,0,23,13.8,317.4,0.7,16.1,0.0507246377,0,0,0,0.2,4.6,0.0144927536,0.4,9.2,0.0289855072,0.56,23.00,1.00,,0.40,9.2,0.0289855072,1.30,29.9,0.0942028986,0.29,0.2,4.6,0.0144927536,1,23,0.0724637681,0.217,0.371,1.2,28,0.0882167612,0.667,1.8,41.4,0.1304347826,0.2,4.6,0.0144927536,1,23,0.0724637681,0.179,0.9,21.4,0.0674228103,4.1,3.2,24,1,0.0031505986,0.5,11.5,0.0362318841,1.4,32.2,0.1014492754,0.333,0.1,2.3,0.0072463768,0.4,9.2,0.0289855072,0.222,0.364,3,69,0.2173913043,0.6,13.8,0.0434782609,0.714,0,0,0,0,1,23,0.0724637681,0.29,1,23,0.0724637681,0.333,0.396,0.714,0.7,17,0.0535601764,0.6,14,0.0441083806,1.1,25.3,0.0797101449,2.1,1.1,26,0.081915564,12.7,292.1,0.9202898551,0.1,2.3,0.0072463768,0.3,6.9,0.0217391304,2.3,52.9,0.1666666667,2.5,57.5,0.1811594203,8.8,16.6,381,1.2003780718,13.7,315.1,0.9927536232,0.7,16.1,0,0,0,1.1,25.3,0.0797101449,0.18,0.22
Deron Williams,BKN,PG,28.1,26,1.9,3.2,0.1,0,0,0,14,28.3,396.2,0.6,8.4,0.0212014134,0.2,3,0.0075719334,0.8,11.2,0.0282685512,1.4,19.6,0.0494699647,0.55,52.00,3.70,,1.40,19.6,0.0494699647,2.60,36.4,0.0918727915,0.51,1,14,0.035335689,1.9,26.6,0.0671378092,0.519,0.703,2.4,33,0.083291267,0.579,4.1,57.4,0.1448763251,0.3,4.2,0.0106007067,2.1,29.4,0.074204947,0.121,2,27.6,0.069661787,4.2,3.3,59,4.2,0.0106007067,1.9,26.6,0.0671378092,4.9,68.6,0.1731448763,0.391,0.4,5.6,0.0141342756,1.3,18.2,0.0459363958,0.278,0.428,12.4,173.6,0.4381625442,2.1,29.4,0.074204947,0.5,0.3,4.2,0.0106007067,0.5,3.7,51.8,0.1307420495,0.514,4.2,58.8,0.148409894,0.391,0.525,0.5,5.1,72,0.1817264008,2.1,29,0.0731953559,5.4,75.6,0.1908127208,3.5,7.1,100,0.2523977789,56.1,785.4,1.9823321555,0.8,11.2,0.0282685512,1.9,26.6,0.0671378092,13.5,189,0.4770318021,16.8,235.2,0.593639576,28.5,71.6,1002,2.5290257446,62.9,880.6,2.222614841,5.5,77,0.6,8.4,0.0212014134,3.6,50.4,0.1272084806,0.17,0.2
Derrick Favors,UTA,PF,32,90,3.5,5.2,0.1,0,0,0,26,32.2,837.2,1.2,31.2,0.0372670807,1.6,41,0.0489727664,4.8,124.8,0.149068323,9.8,254.8,0.3043478261,0.49,38.00,1.50,,0.70,18.2,0.0217391304,1.90,49.4,0.0590062112,0.38,0,0,0,0,0,0,0,0.38,9.2,238,0.2842809365,0.589,15.5,403,0.4813664596,3.9,101.4,0.1211180124,5.3,137.8,0.1645962733,0.424,2.2,57.7,0.0689202102,4.1,3.3,14,0.5,0.0005972289,0.3,7.8,0.0093167702,0.6,15.6,0.0186335404,0.467,0,0,0,0,0,0,0,0.467,13.7,356.2,0.4254658385,0.3,7.8,0.0093167702,0.6,4.8,124.8,0.149068323,0.532,1.5,39,0.0465838509,0.38,0.5,13,0.0155279503,0.467,0.516,0.6,0.4,11,0.0131390349,0.3,8,0.0095556617,0.4,10.4,0.0124223602,0.5,1.3,33,0.0394171046,47.7,1240.2,1.4813664596,0.1,2.6,0.0031055901,0.3,7.8,0.0093167702,2.8,72.8,0.0869565217,3.1,80.6,0.0962732919,4.6,62.9,1636,1.9541328237,30.5,793,0.9472049689,1.4,36.4,6.1,158.6,0.1894409938,6.2,161.2,0.1925465839,0.22,0.45
Derrick Rose,CHI,PG,31.1,15,1.5,2.3,0.0,0,1,0,10,30.9,309,0.5,5,0.0161812298,0.1,1,0.003236246,0.9,9,0.0291262136,2,20,0.0647249191,0.45,40.00,4.00,,1.40,14,0.0453074434,3.40,34,0.1100323625,0.41,1.2,12,0.0388349515,2.8,28,0.0906148867,0.429,0.588,3.2,32,0.1035598706,0.542,5.9,59,0.1909385113,0.6,6,0.0194174757,2.6,26,0.0841423948,0.188,2.3,22.6,0.0731391586,4.4,3.5,32,3.2,0.0103559871,1.4,14,0.0453074434,6.5,65,0.2103559871,0.215,0.4,4,0.0129449838,1.9,19,0.0614886731,0.211,0.246,15.9,159,0.5145631068,4.8,48,0.1553398058,0.442,0.4,4,0.0129449838,0.167,4,40,0.1294498382,0.412,3.2,32,0.1035598706,0.215,0.402,0.442,6.4,64,0.2071197411,4.8,48,0.1553398058,8.2,82,0.2653721683,7.4,4.3,43,0.1391585761,60.6,606,1.9611650485,0.4,4,0.0129449838,1.7,17,0.0550161812,10.2,102,0.3300970874,9.8,98,0.3171521036,15.2,83.3,833,2.6957928803,74.6,746,2.4142394822,6.2,62,1,10,0.0323624595,3,30,0.0970873786,0.19,0.21
Derrick Williams,MIN,PF,14.8,9,0.8,2.7,0.1,0,0,0,11,14.8,162.8,0.4,4.4,0.027027027,0.4,4,0.0245700246,0.9,9.9,0.0608108108,1.4,15.4,0.0945945946,0.67,6.00,0.50,,0.30,3.3,0.0202702703,1.30,14.3,0.0878378378,0.21,0,0,0,0.9,9.9,0.0608108108,0,0.214,2.4,26,0.1597051597,0.591,4,44,0.2702702703,0.9,9.9,0.0608108108,1.5,16.5,0.1013513514,0.385,1,10.9,0.066953317,4,3.2,16,1.5,0.0092137592,0.6,6.6,0.0405405405,1.5,16.5,0.1013513514,0.412,0.2,2.2,0.0135135135,0.4,4.4,0.027027027,0.5,0.471,4.9,53.9,0.3310810811,0.2,2.2,0.0135135135,0,0.9,9.9,0.0608108108,0.5,0.5,5.5,0.0337837838,0.214,1.5,16.5,0.1013513514,0.412,0.37,0,0.4,4,0.0245700246,0.2,2,0.0122850123,0.2,2.2,0.0135135135,0.6,0.1,1,0.0061425061,13.3,146.3,0.8986486486,0,0,0,0.1,1.1,0.0067567568,0.7,7.7,0.0472972973,0.3,3.3,0.0202702703,0.9,33.9,339,2.0823095823,21.5,236.5,1.4527027027,0.8,8.8,1.5,16.5,0.1013513514,1,11,0.0675675676,0.38,0.6
Derrick Williams,SAC,PF,25,24,2.4,4.6,0.1,0,0,0,10,25,250,1,10,0.04,0.2,2,0.008,1.2,12,0.048,2.4,24,0.096,0.50,29.00,2.90,,1.10,11,0.044,2.20,22,0.088,0.50,0.7,7,0.028,1.5,15,0.06,0.467,0.659,4.3,43,0.172,0.705,6.1,61,0.244,1,10,0.04,3.3,33,0.132,0.233,1.7,17.2,0.0688,4.1,3.3,17,1.7,0.0068,0.8,8,0.032,2.3,23,0.092,0.348,0.1,1,0.004,0.5,5,0.02,0.2,0.37,12.8,128,0.512,0.8,8,0.032,0.167,1.9,19,0.076,0.7,2.9,29,0.116,0.5,1.7,17,0.068,0.348,0.527,0.167,1.1,11,0.044,0.8,8,0.032,1,10,0.04,1.5,1.3,13,0.052,21.5,215,0.86,0.1,1,0.004,0.1,1,0.004,2.2,22,0.088,2.6,26,0.104,5,19.8,218,0.872,12.6,126,0.504,0.5,5,0.9,9,0.036,1.5,15,0.06,0.25,0.39
Derrick Williams,TOTAL,PF,21,30,1.4,3.1,0.1,0,0,0,21,19.7,413.7,0.7,14.7,0.0355329949,0.3,6,0.0145032632,1,21,0.0507614213,1.9,39.9,0.0964467005,0.56,35.00,1.70,,0.70,14.7,0.0355329949,1.70,35.7,0.0862944162,0.39,0.3,6.3,0.0152284264,1.2,25.2,0.0609137056,0.28,0.486,3.3,69,0.1667875272,0.657,5,105,0.2538071066,1,21,0.0507614213,2.3,48.3,0.116751269,0.29,1.3,28.1,0.0679236161,4.1,3.3,33,1.6,0.0038675369,0.7,14.7,0.0355329949,1.9,39.9,0.0964467005,0.375,0.1,2.1,0.0050761421,0.4,8.4,0.0203045685,0.333,0.413,8.7,182.7,0.4416243655,0.5,10.5,0.0253807107,0.111,1.4,29.4,0.0710659898,0.611,1.7,35.7,0.0862944162,0.389,1.6,33.6,0.0812182741,0.375,0.469,0.111,0.7,15,0.0362581581,0.5,10,0.0241721054,0.6,12.6,0.0304568528,1.2,0.7,14,0.0338409475,17.2,361.2,0.8730964467,0,0,0,0.1,2.1,0.0050761421,1.4,29.4,0.0710659898,1.4,29.4,0.0710659898,3.4,26.5,557,1.3463862702,16.9,354.9,0.8578680203,0.7,14.7,1.2,25.2,0.0609137056,1.2,25.2,0.0609137056,0.33,0.51
Dewayne Dedmon,GSW,C,1.5,1,0.3,8.0,0.2,0,0,0,4,1.4,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,0.00,0,0,0.30,1.2,0.2142857143,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.2,0.2142857143,0,0,0,0,0,0,NaN,0.1,0.4,0.0714285714,4.3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.2,0.2142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,5.2,0.9285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1.4285714286,0.5,2,0.3571428571,0,0,0,0,0,0.3,1.2,0.2142857143,0.13,0.5
Diante Garrett,UTA,PG,14.7,12,0.6,2.1,0.0,0,0,0,19,14.9,283.1,0.8,15.2,0.0536912752,0,0,0,0.3,5.7,0.0201342282,0.8,15.2,0.0536912752,0.38,21.00,1.10,,0.40,7.6,0.0268456376,0.70,13.3,0.0469798658,0.50,0.4,7.6,0.0268456376,0.7,13.3,0.0469798658,0.5,0.75,1.1,21,0.0741787354,0.477,2.3,43.7,0.1543624161,0.1,1.9,0.0067114094,1,19,0.067114094,0.095,1,19.9,0.0702931826,4.2,3.4,6,0.3,0.0010596962,0.2,3.8,0.0134228188,1.3,24.7,0.0872483221,0.125,0,0,0,0.1,1.9,0.0067114094,0,0.125,3.4,64.6,0.2281879195,1.4,26.6,0.0939597315,0.5,0,0,0,0,1.1,20.9,0.0738255034,0.5,0.3,5.7,0.0201342282,0.125,0.436,0.5,2.2,41,0.1448251501,1.4,26,0.0918403391,2.8,53.2,0.1879194631,4.4,2.6,49,0.173083716,27.6,524.4,1.8523489933,0.3,5.7,0.0201342282,0.4,7.6,0.0268456376,4.9,93.1,0.3288590604,5.8,110.2,0.389261745,18.9,33.6,639,2.2571529495,29.9,568.1,2.0067114094,2.4,45.6,0.2,3.8,0.0134228188,1.4,26.6,0.0939597315,0.1,0.11
Dion Waiters,CLE,SG,28.5,47,2.1,3.6,0.1,0,1,0,22,28.8,633.6,1,22,0.0347222222,0.3,6,0.009469697,1,22,0.0347222222,1.8,39.6,0.0625,0.56,97.00,4.40,,1.60,35.2,0.0555555556,3.50,77,0.1215277778,0.46,1.1,24.2,0.0381944444,2.4,52.8,0.0833333333,0.472,0.622,3.2,71,0.1120580808,0.597,5.4,118.8,0.1875,0.6,13.2,0.0208333333,2.6,57.2,0.0902777778,0.183,2,44.4,0.0700757576,4.2,3.4,88,4,0.0063131313,2,44,0.0694444444,5.1,112.2,0.1770833333,0.384,0.1,2.2,0.0034722222,0.6,13.2,0.0208333333,0.154,0.393,14.9,327.8,0.5173611111,4,88,0.1388888889,0.403,0.1,2.2,0.0034722222,0.333,4.4,96.8,0.1527777778,0.462,4,88,0.1388888889,0.384,0.479,0.403,7.5,164,0.2588383838,4,87,0.1373106061,7.6,167.2,0.2638888889,6.6,2.5,55,0.0868055556,25.5,561,0.8854166667,0,0,0,0.6,13.2,0.0208333333,4.7,103.4,0.1631944444,5.9,129.8,0.2048611111,9.8,43.4,955,1.507260101,39.7,873.4,1.3784722222,2.4,52.8,0.3,6.6,0.0104166667,3.8,83.6,0.1319444444,0.34,0.37
Dionte Christmas,PHX,SG,7.3,9,0.7,4.5,0.1,0,0,0,13,7.4,96.2,0.2,2.6,0.027027027,0,0,0,0.4,5.2,0.0540540541,0.5,6.5,0.0675675676,0.71,16.00,1.20,,0.50,6.5,0.0675675676,0.90,11.7,0.1216216216,0.50,0.3,3.9,0.0405405405,0.6,7.8,0.0810810811,0.5,0.667,1.3,17,0.1767151767,0.567,2.3,29.9,0.3108108108,0.3,3.9,0.0405405405,1,13,0.1351351351,0.235,0.5,7.1,0.0738045738,4.4,3.5,0,0,0,0,0,0,1,13,0.1351351351,0,0,0,0,0.4,5.2,0.0540540541,0,0,2.1,27.3,0.2837837838,0.2,2.6,0.027027027,1,0,0,0,0,1.2,15.6,0.1621621622,0.5,0,0,0,0,0.444,1,0.1,1,0.0103950104,0.2,2,0.0207900208,0.2,2.6,0.027027027,1,0.1,1,0.0103950104,7.6,98.8,1.027027027,0,0,0,0.2,2.6,0.027027027,0.8,10.4,0.1081081081,0.2,2.6,0.027027027,1,10.3,134,1.3929313929,7.2,93.6,0.972972973,0.3,3.9,0.3,3.9,0.0405405405,0.2,2.6,0.027027027,0.2,0.29
Dirk Nowitzki,DAL,PF,32.4,54,2.3,3.3,0.1,0,3,0,24,32.5,780,1.1,26.4,0.0338461538,0.8,18,0.0230769231,3.3,79.2,0.1015384615,6.8,163.2,0.2092307692,0.49,200.00,8.30,,3.50,84,0.1076923077,7.20,172.8,0.2215384615,0.49,1.3,31.2,0.04,3.3,79.2,0.1015384615,0.405,0.578,6,143,0.1833333333,0.54,11,264,0.3384615385,1.7,40.8,0.0523076923,4.3,103.2,0.1323076923,0.28,2.1,49.5,0.0634615385,3.8,3,129,5.4,0.0069230769,2.6,62.4,0.08,5.5,132,0.1692307692,0.477,0.1,2.4,0.0030769231,0.3,7.2,0.0092307692,0.5,0.489,21.1,506.4,0.6492307692,0.5,12,0.0153846154,0.429,1.7,40.8,0.0523076923,0.64,8.3,199.2,0.2553846154,0.486,5.4,129.6,0.1661538462,0.477,0.544,0.429,0.5,13,0.0166666667,0.5,12,0.0153846154,0.7,16.8,0.0215384615,0.7,2.9,70,0.0897435897,42.6,1022.4,1.3107692308,0.3,7.2,0.0092307692,0.5,12,0.0153846154,5.7,136.8,0.1753846154,6.9,165.6,0.2123076923,10.2,63.4,1521,1.95,41.3,991.2,1.2707692308,1.5,36,1.7,40.8,0.0523076923,5.8,139.2,0.1784615385,0.33,0.51
Donald Sloan,IND,PG,8.5,6,0.6,3.4,0.1,0,0,0,10,8.6,86,0.5,5,0.0581395349,0,0,0,0.3,3,0.0348837209,0.3,3,0.0348837209,1.00,8.00,0.80,,0.30,3,0.0348837209,0.70,7,0.0813953488,0.43,0.2,2,0.023255814,0.6,6,0.0697674419,0.333,0.571,1.6,16,0.1860465116,0.842,1.9,19,0.2209302326,0.2,2,0.023255814,1.4,14,0.1627906977,0.125,0.6,6.1,0.0709302326,4.3,3.4,9,0.9,0.0104651163,0.4,4,0.0465116279,1.3,13,0.1511627907,0.308,0.1,1,0.011627907,0.5,5,0.0581395349,0.2,0.346,2.8,28,0.3255813953,0.6,6,0.0697674419,0.6,0.2,2,0.023255814,0,0.8,8,0.0930232558,0.429,0.9,9,0.1046511628,0.308,0.523,0.6,0.7,7,0.0813953488,0.6,6,0.0697674419,1.1,11,0.1279069767,3.4,1.2,12,0.1395348837,13.9,139,1.6162790698,0.1,1,0.011627907,0.1,1,0.011627907,2.6,26,0.3023255814,2.9,29,0.3372093023,16.2,17.6,176,2.0465116279,14.3,143,1.6627906977,1.4,14,0.1,1,0.011627907,0.9,9,0.1046511628,0.16,0.2
Donatas Motiejunas,HOU,PF,7.7,12,1.0,6.3,0.1,0,0,0,12,7.7,92.4,0.1,1.2,0.012987013,0.3,3,0.0324675325,0.8,9.6,0.1038961039,2.2,26.4,0.2857142857,0.39,8.00,0.70,,0.30,3.6,0.038961039,1.30,15.6,0.1688311688,0.19,0.2,2.4,0.025974026,1.1,13.2,0.1428571429,0.154,0.25,1.6,19,0.2056277056,0.452,3.5,42,0.4545454545,0.6,7.2,0.0779220779,1,12,0.1298701299,0.368,0.6,6.8,0.0735930736,4.4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,37.2,0.4025974026,0.2,2.4,0.025974026,1,0.8,9.6,0.1038961039,0.5,0.7,8.4,0.0909090909,0.188,0,0,0,0,0.378,1,0.2,2,0.0216450216,0.2,2,0.0216450216,0.2,2.4,0.025974026,1,0.1,1,0.0108225108,7.1,85.2,0.9220779221,0,0,0,0.1,1.2,0.012987013,0.5,6,0.0649350649,0.3,3.6,0.038961039,1.5,11.1,133,1.4393939394,6.8,81.6,0.8831168831,0.2,2.4,0.8,9.6,0.1038961039,0.6,7.2,0.0779220779,0.28,0.45
